step,learning_rate
0,0.0000080
10,0.0000880
20,0.0001680
30,0.0002480
40,0.0003280
50,0.0004080
60,0.0004880
70,0.0005680
80,0.0006480
90,0.0007280
100,0.0008080
110,0.0008880
120,0.0009680
130,0.0010480
140,0.0011280
150,0.0012080
160,0.0012880
170,0.0013680
180,0.0014480
190,0.0015280
200,0.0016080
210,0.0016880
220,0.0017680
230,0.0018480
240,0.0019280
250,0.0020080
260,0.0020880
270,0.0021680
280,0.0022480
290,0.0023280
300,0.0024000
310,0.0024000
320,0.0024000
330,0.0024000
340,0.0024000
350,0.0024000
360,0.0023999
370,0.0023999
380,0.0023999
390,0.0023999
400,0.0023999
410,0.0023998
420,0.0023998
430,0.0023998
440,0.0023997
450,0.0023997
460,0.0023996
470,0.0023996
480,0.0023995
490,0.0023995
500,0.0023994
510,0.0023994
520,0.0023993
530,0.0023992
540,0.0023992
550,0.0023991
560,0.0023990
570,0.0023989
580,0.0023989
590,0.0023988
600,0.0023987
610,0.0023986
620,0.0023985
630,0.0023984
640,0.0023983
650,0.0023982
660,0.0023981
670,0.0023980
680,0.0023979
690,0.0023978
700,0.0023977
710,0.0023975
720,0.0023974
730,0.0023973
740,0.0023972
750,0.0023970
760,0.0023969
770,0.0023968
780,0.0023966
790,0.0023965
800,0.0023963
810,0.0023962
820,0.0023960
830,0.0023959
840,0.0023957
850,0.0023956
860,0.0023954
870,0.0023952
880,0.0023951
890,0.0023949
900,0.0023947
910,0.0023946
920,0.0023944
930,0.0023942
940,0.0023940
950,0.0023938
960,0.0023936
970,0.0023934
980,0.0023932
990,0.0023930
1000,0.0023928
1010,0.0023926
1020,0.0023924
1030,0.0023922
1040,0.0023920
1050,0.0023918
1060,0.0023915
1070,0.0023913
1080,0.0023911
1090,0.0023909
1100,0.0023906
1110,0.0023904
1120,0.0023902
1130,0.0023899
1140,0.0023897
1150,0.0023894
1160,0.0023892
1170,0.0023889
1180,0.0023887
1190,0.0023884
1200,0.0023882
1210,0.0023879
1220,0.0023876
1230,0.0023874
1240,0.0023871
1250,0.0023868
1260,0.0023865
1270,0.0023862
1280,0.0023860
1290,0.0023857
1300,0.0023854
1310,0.0023851
1320,0.0023848
1330,0.0023845
1340,0.0023842
1350,0.0023839
1360,0.0023836
1370,0.0023833
1380,0.0023830
1390,0.0023826
1400,0.0023823
1410,0.0023820
1420,0.0023817
1430,0.0023813
1440,0.0023810
1450,0.0023807
1460,0.0023803
1470,0.0023800
1480,0.0023797
1490,0.0023793
1500,0.0023790
1510,0.0023786
1520,0.0023783
1530,0.0023779
1540,0.0023776
1550,0.0023772
1560,0.0023768
1570,0.0023765
1580,0.0023761
1590,0.0023757
1600,0.0023753
1610,0.0023750
1620,0.0023746
1630,0.0023742
1640,0.0023738
1650,0.0023734
1660,0.0023730
1670,0.0023726
1680,0.0023722
1690,0.0023718
1700,0.0023714
1710,0.0023710
1720,0.0023706
1730,0.0023702
1740,0.0023698
1750,0.0023693
1760,0.0023689
1770,0.0023685
1780,0.0023681
1790,0.0023676
1800,0.0023672
1810,0.0023668
1820,0.0023663
1830,0.0023659
1840,0.0023654
1850,0.0023650
1860,0.0023645
1870,0.0023641
1880,0.0023636
1890,0.0023632
1900,0.0023627
1910,0.0023623
1920,0.0023618
1930,0.0023613
1940,0.0023608
1950,0.0023604
1960,0.0023599
1970,0.0023594
1980,0.0023589
1990,0.0023584
2000,0.0023579
2010,0.0023574
2020,0.0023570
2030,0.0023565
2040,0.0023560
2050,0.0023554
2060,0.0023549
2070,0.0023544
2080,0.0023539
2090,0.0023534
2100,0.0023529
2110,0.0023524
2120,0.0023518
2130,0.0023513
2140,0.0023508
2150,0.0023503
2160,0.0023497
2170,0.0023492
2180,0.0023486
2190,0.0023481
2200,0.0023475
2210,0.0023470
2220,0.0023464
2230,0.0023459
2240,0.0023453
2250,0.0023448
2260,0.0023442
2270,0.0023436
2280,0.0023431
2290,0.0023425
2300,0.0023419
2310,0.0023414
2320,0.0023408
2330,0.0023402
2340,0.0023396
2350,0.0023390
2360,0.0023384
2370,0.0023378
2380,0.0023372
2390,0.0023366
2400,0.0023360
2410,0.0023354
2420,0.0023348
2430,0.0023342
2440,0.0023336
2450,0.0023330
2460,0.0023324
2470,0.0023318
2480,0.0023311
2490,0.0023305
2500,0.0023299
2510,0.0023292
2520,0.0023286
2530,0.0023280
2540,0.0023273
2550,0.0023267
2560,0.0023260
2570,0.0023254
2580,0.0023247
2590,0.0023241
2600,0.0023234
2610,0.0023228
2620,0.0023221
2630,0.0023214
2640,0.0023208
2650,0.0023201
2660,0.0023194
2670,0.0023188
2680,0.0023181
2690,0.0023174
2700,0.0023167
2710,0.0023160
2720,0.0023153
2730,0.0023146
2740,0.0023140
2750,0.0023133
2760,0.0023126
2770,0.0023119
2780,0.0023111
2790,0.0023104
2800,0.0023097
2810,0.0023090
2820,0.0023083
2830,0.0023076
2840,0.0023069
2850,0.0023061
2860,0.0023054
2870,0.0023047
2880,0.0023039
2890,0.0023032
2900,0.0023025
2910,0.0023017
2920,0.0023010
2930,0.0023002
2940,0.0022995
2950,0.0022987
2960,0.0022980
2970,0.0022972
2980,0.0022965
2990,0.0022957
3000,0.0022950
3010,0.0022942
3020,0.0022934
3030,0.0022926
3040,0.0022919
3050,0.0022911
3060,0.0022903
3070,0.0022895
3080,0.0022888
3090,0.0022880
3100,0.0022872
3110,0.0022864
3120,0.0022856
3130,0.0022848
3140,0.0022840
3150,0.0022832
3160,0.0022824
3170,0.0022816
3180,0.0022808
3190,0.0022799
3200,0.0022791
3210,0.0022783
3220,0.0022775
3230,0.0022767
3240,0.0022758
3250,0.0022750
3260,0.0022742
3270,0.0022733
3280,0.0022725
3290,0.0022717
3300,0.0022708
3310,0.0022700
3320,0.0022691
3330,0.0022683
3340,0.0022674
3350,0.0022666
3360,0.0022657
3370,0.0022649
3380,0.0022640
3390,0.0022631
3400,0.0022623
3410,0.0022614
3420,0.0022605
3430,0.0022596
3440,0.0022588
3450,0.0022579
3460,0.0022570
3470,0.0022561
3480,0.0022552
3490,0.0022543
3500,0.0022534
3510,0.0022525
3520,0.0022516
3530,0.0022507
3540,0.0022498
3550,0.0022489
3560,0.0022480
3570,0.0022471
3580,0.0022462
3590,0.0022453
3600,0.0022444
3610,0.0022434
3620,0.0022425
3630,0.0022416
3640,0.0022407
3650,0.0022397
3660,0.0022388
3670,0.0022379
3680,0.0022369
3690,0.0022360
3700,0.0022350
3710,0.0022341
3720,0.0022331
3730,0.0022322
3740,0.0022312
3750,0.0022303
3760,0.0022293
3770,0.0022284
3780,0.0022274
3790,0.0022264
3800,0.0022255
3810,0.0022245
3820,0.0022235
3830,0.0022225
3840,0.0022216
3850,0.0022206
3860,0.0022196
3870,0.0022186
3880,0.0022176
3890,0.0022166
3900,0.0022156
